,Name,Description,x,y
0,New Cross Road,"<img src=""https://lh6.googleusercontent.com/proxy/wJ1uTmQMNXvAUpTRYk4mip8EFeuqYZTt92z6y7XcDdHe2TDGkFBEFKDqUT6XlgOiOMNT9r6VFUL4wqdUcue7lDVIKnEQqyBeJjCJwj--4EpJ"" height=""200"" width=""auto"" /><br><br>November 25, 1944, 168 dead. <br><br> <br>Single worst death toll from a V2 in England (though worse happened in Antwerp). Demolished a Woolworths full of shoppers.",-0.038903,51.475529
1,"Hughes Mansions, Vallance Road","March 27, 1945, 134 Dead. Final V2 to hit London.",-0.063665,51.521308
2,Smithfield Market,"March 8 1945, 110 Dead<br><br>Comment from Mark Warrington: Great site, just stumbled across it, my dad was at his very first day of work in Charterhouse Street, when a V2 rocket hit Smithfield Market on 8th March 1945 at 11.30am, as other of mentioned that as these rockets traveled faster than the speed of sound there was no warning, luckily for him he was in the middle of the office when the windows imploded inwards, injuring many with flying glass and debris.<br><br>My dad was usually happy to talk about the war and blitz, he'd been bombed out of his house on Brecknock Road, Tufnell Park in 1941 and was fairly jocular and relaxed talking about, however with the above incident he didn't tell me till I was in my twenties, apparently the carnage was all the worse as there was a queue of women lined up waiting to buy meat.",-0.104971,51.518978
3,Mackenzie Road,"December 26, 1944, 68 Dead. Prince of Wales pub destroyed.<br><br>From reader Andy B: ""My father's brothers had gone to bed when that V2 hit. Windows were blown in and a large shard of glass embedded itself in the settee. My father was leaning forward playing with a dinky toy and reckons that if he had been sitting back in the settee the glass would have injured him severely if not fatally.""",-0.112395,51.549057
4,Trundleys Road,"March 7, 1945, 53 Dead.",-0.041606,51.484055
5,Axminster Road,"January 13, 1945, ~48 Dead<br><br>Information based on reader report from Patricia Parisi: ""I was buried under rubble in bed with my sister and remember being collected by ambulance and taken to a school rest centre.I seem to remember being told that there were many deaths (about 48)...I have been back to see the site of our old house No.6 Axminster Rd. and there are now flats there called Bennett Court.""<br><br>Comment from James Harley: <br>In the early hours of the freezing Saturday morning, 13th January 1945, an SS Major supervised his Group North V2 fuelling platoon hidden in a clearing of a wood in Holland near the city of Nijmegen close to the German border.  They were operating from a secluded spot in<br>the forest, providing as much camouflage as possible from prowling Allied fighter aircraft.  The detonating platoon then raised the Rocket vertically on the firing table, aligned its electronics, set the gyros and armed the weapon.  From the time the rocket was fuelled<br>to when it was fired took 90 minutes. The officer gave the order for the first V2 to be fired that day at 5.57am.  Its destination was the North London area. <br>At that moment, aged 2years 9 months, I was<br>asleep in bed with my mother at our home on the ground floor of a house at 121, Axminster Road,<br>Islington, North London.  My father was in Northern Italy serving in the British Eighth Army, having landed in Salerno from North Africa some months earlier, later fighting at Monte Cassino<br>and by this date, nearing Milan.<br><br>Two minutes after leaving Holland, the rocket impacted in the rear gardens of houses opposite and the roof and upper floors of our home<br>crashed down upon us. Although still an infant I can vaguely remember being held by my mother and an axe head coming through a door.  After being freed and receiving remedial treatment we were evacuated to relatives in Herefordshire where we stayed until 1947 when my father was demobbed and our home rebuilt.<br><br>The houses opposite were totally destroyed and many years later replaced by a large block of flats – now known as Bennett Court. My mother was greatly affected by this tragedy, following<br>as it did an earlier “near miss with death” when the Maternity Home where I was born was destroyed during the Blitz shortly after she had taken me home.  Superficially Mother’s main concerns and anguish were based upon the loss of all her wedding presents which had been<br>stolen by looters, probably members of the Auxiliary Fire Service who rescued us.",-0.11799,51.560097
6,Morton Place,"<img src=""https://lh5.googleusercontent.com/proxy/zBGK6333CWi_rDJx4asJkMfP1k5-IFH_C1P-vObILxuknUZFNyWq3y91cnI-qhKZyGDjqDF01CQXAJhOJpW0WjO7D_wU7ROqTg"" height=""200"" width=""auto"" /><br><br>January 4, 1945, 42 Dead.",-0.112481,51.496791
7,"Henry Road, Chelmsford","December 19, 1944, 39 dead.<br><br>http://www.thisistotalessex.co.uk/witham/CHELMSFORD-Hoffman-s-hero-relives-terrifying-night-German-rocket-hit-factoryarticle-772981-details/article.html",0.470588,51.742855
8,Shardeloes Road,"1 November, 1944, 36 Dead.",-0.035523,51.470818
9,Hazelhurst Road,"November 9, 1944, 35 Dead. Location not certain.<br><br>Reader comment: ""71 Hazelhurst Rd was the Location of the Hit it was on Sunday 19 November 1944 at around 800-830 am <br>Not the date you have <br>There was more then 35 killed more like 300 as two or three shelters where never found each had about 100 in them. How do I know I lived near there and my house took some of the blast and my late wife was in it the house that took the hit that is why she lived he G-Mother was killed and the rest of her family sufferd for the rest off there life. The road never rebuilt as it was""",-0.180722,51.430979
