    purchase  income age
    0.0   32.0    3.0
    0.0   45.0    2.0
    1.0   60.0    2.0
    0.0   53.0    1.0
    0.0   25.0    4.0
    1.0   68.0    1.0
    1.0   82.0    2.0
    1.0   38.0    5.0
    0.0   67.0    2.0
    1.0   92.0    2.0
    1.0   72.0    3.0
    0.0   21.0    5.0
    0.0   26.0    3.0
    1.0   40.0    4.0
    0.0   33.0    3.0
    0.0   45.0    1.0
    1.0   61.0    2.0
    0.0   16.0    3.0
    1.0   18.0    4.0
    0.0   22.0    6.0
    0.0   27.0    3.0
    1.0   35.0    3.0
    1.0   40.0    3.0
    0.0   10.0    4.0
    0.0   24.0    3.0
    1.0   15.0    4.0
    0.0   23.0    3.0
    0.0   19.0    5.0
    1.0   22.0    2.0
    0.0   61.0    2.0
    0.0   21.0    3.0
    1.0   32.0    5.0
    0.0   17.0    1.0
