Subject,repetition,word,token,Frame,X,Y
NJ0205a,B,pad,B_pad,1,239,262
NJ0205a,B,pad,B_pad,2,249,256
NJ0205a,B,pad,B_pad,3,259,249
NJ0205a,B,pad,B_pad,4,270,243
NJ0205a,B,pad,B_pad,5,280,237
NJ0205a,B,pad,B_pad,6,291,231
NJ0205a,B,pad,B_pad,7,302,225
NJ0205a,B,pad,B_pad,8,312,219
NJ0205a,B,pad,B_pad,9,323,212
NJ0205a,B,pad,B_pad,10,333,207
NJ0205a,B,pad,B_pad,11,344,201
NJ0205a,B,pad,B_pad,12,355,195
NJ0205a,B,pad,B_pad,13,366,190
NJ0205a,B,pad,B_pad,14,377,184
NJ0205a,B,pad,B_pad,15,388,181
NJ0205a,B,pad,B_pad,16,400,177
NJ0205a,B,pad,B_pad,17,412,175
NJ0205a,B,pad,B_pad,18,424,173
NJ0205a,B,pad,B_pad,19,436,172
NJ0205a,B,pad,B_pad,20,448,171
NJ0205a,B,pad,B_pad,21,461,172
NJ0205a,B,pad,B_pad,22,473,174
NJ0205a,B,pad,B_pad,23,484,179
NJ0205a,B,pad,B_pad,24,494,185
NJ0205a,B,pad,B_pad,25,503,194
NJ0205a,B,pad,B_pad,26,511,203
NJ0205a,B,pad,B_pad,27,518,213
NJ0205a,B,pad,B_pad,28,527,221
NJ0205a,B,pad,B_pad,29,536,230
NJ0205a,B,pad,B_pad,30,545,237
NJ0205a,B,pad,B_pad,31,555,244
NJ0205a,B,pad,B_pad,32,566,250
NJ0205a,B,pad,B_pad,33,577,256
NJ0205a,C,pad,C_pad,1,263,247
NJ0205a,C,pad,C_pad,2,273,242
NJ0205a,C,pad,C_pad,3,282,238
NJ0205a,C,pad,C_pad,4,292,233
NJ0205a,C,pad,C_pad,5,301,228
NJ0205a,C,pad,C_pad,6,310,221
NJ0205a,C,pad,C_pad,7,319,215
NJ0205a,C,pad,C_pad,8,328,209
NJ0205a,C,pad,C_pad,9,337,203
NJ0205a,C,pad,C_pad,10,347,199
NJ0205a,C,pad,C_pad,11,357,194
NJ0205a,C,pad,C_pad,12,366,190
NJ0205a,C,pad,C_pad,13,377,187
NJ0205a,C,pad,C_pad,14,387,184
NJ0205a,C,pad,C_pad,15,397,180
NJ0205a,C,pad,C_pad,16,408,177
NJ0205a,C,pad,C_pad,17,418,175
NJ0205a,C,pad,C_pad,18,429,173
NJ0205a,C,pad,C_pad,19,439,172
NJ0205a,C,pad,C_pad,20,450,173
NJ0205a,C,pad,C_pad,21,461,176
NJ0205a,C,pad,C_pad,22,471,179
NJ0205a,C,pad,C_pad,23,480,184
NJ0205a,C,pad,C_pad,24,489,190
NJ0205a,C,pad,C_pad,25,497,197
NJ0205a,C,pad,C_pad,26,505,205
NJ0205a,C,pad,C_pad,27,513,212
NJ0205a,C,pad,C_pad,28,521,219
NJ0205a,C,pad,C_pad,29,530,225
NJ0205a,C,pad,C_pad,30,539,231
NJ0205a,C,pad,C_pad,31,546,239
NJ0205a,C,pad,C_pad,32,555,245
NJ0205a,C,pad,C_pad,33,564,252
