Subject,word,repetition,token,Frame,X,Y
NJ0205c,pad,B,pad_B,1,303,220
NJ0205c,pad,B,pad_B,2,311,214
NJ0205c,pad,B,pad_B,3,319,209
NJ0205c,pad,B,pad_B,4,326,202
NJ0205c,pad,B,pad_B,5,334,196
NJ0205c,pad,B,pad_B,6,341,190
NJ0205c,pad,B,pad_B,7,350,185
NJ0205c,pad,B,pad_B,8,358,180
NJ0205c,pad,B,pad_B,9,366,175
NJ0205c,pad,B,pad_B,10,374,170
NJ0205c,pad,B,pad_B,11,382,165
NJ0205c,pad,B,pad_B,12,391,161
NJ0205c,pad,B,pad_B,13,400,158
NJ0205c,pad,B,pad_B,14,409,155
NJ0205c,pad,B,pad_B,15,419,152
NJ0205c,pad,B,pad_B,16,428,150
NJ0205c,pad,B,pad_B,17,438,149
NJ0205c,pad,B,pad_B,18,447,149
NJ0205c,pad,B,pad_B,19,457,149
NJ0205c,pad,B,pad_B,20,467,149
NJ0205c,pad,B,pad_B,21,476,150
NJ0205c,pad,B,pad_B,22,486,152
NJ0205c,pad,B,pad_B,23,495,155
NJ0205c,pad,B,pad_B,24,503,160
NJ0205c,pad,B,pad_B,25,511,166
NJ0205c,pad,B,pad_B,26,516,174
NJ0205c,pad,B,pad_B,27,521,182
NJ0205c,pad,B,pad_B,28,526,190
NJ0205c,pad,B,pad_B,29,531,199
NJ0205c,pad,B,pad_B,30,536,207
NJ0205c,pad,B,pad_B,31,540,216
NJ0205c,pad,B,pad_B,32,544,225
NJ0205c,pad,B,pad_B,33,547,234
NJ0205c,pad,C,pad_C,1,301,241
NJ0205c,pad,C,pad_C,2,309,233
NJ0205c,pad,C,pad_C,3,316,226
NJ0205c,pad,C,pad_C,4,323,218
NJ0205c,pad,C,pad_C,5,331,210
NJ0205c,pad,C,pad_C,6,338,202
NJ0205c,pad,C,pad_C,7,343,193
NJ0205c,pad,C,pad_C,8,349,185
NJ0205c,pad,C,pad_C,9,357,178
NJ0205c,pad,C,pad_C,10,366,171
NJ0205c,pad,C,pad_C,11,375,166
NJ0205c,pad,C,pad_C,12,384,160
NJ0205c,pad,C,pad_C,13,392,154
NJ0205c,pad,C,pad_C,14,402,149
NJ0205c,pad,C,pad_C,15,412,146
NJ0205c,pad,C,pad_C,16,422,143
NJ0205c,pad,C,pad_C,17,433,142
NJ0205c,pad,C,pad_C,18,443,143
NJ0205c,pad,C,pad_C,19,453,144
NJ0205c,pad,C,pad_C,20,463,148
NJ0205c,pad,C,pad_C,21,473,152
NJ0205c,pad,C,pad_C,22,483,156
NJ0205c,pad,C,pad_C,23,493,160
NJ0205c,pad,C,pad_C,24,502,166
NJ0205c,pad,C,pad_C,25,510,172
NJ0205c,pad,C,pad_C,26,518,179
NJ0205c,pad,C,pad_C,27,525,186
NJ0205c,pad,C,pad_C,28,531,195
NJ0205c,pad,C,pad_C,29,537,204
NJ0205c,pad,C,pad_C,30,542,214
NJ0205c,pad,C,pad_C,31,546,223
NJ0205c,pad,C,pad_C,32,551,233
